datetime,pm10,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,hour,day_of_week,is_weekend,pm10_lag_1h,pm10_lag_3h,pm10_lag_6h,pm10_rolling_6h_mean,pm10_rolling_24h_mean,pm10_next_1h
2025-11-03 08:00:00,1.799,6.2,97,0.0,17.3,8,0,0,1.795,4.527,6.711,2.5611666666666664,3.154,6.591
2025-11-03 09:00:00,6.591,6.9,92,0.1,18.2,9,0,0,1.799,1.79,3.683,3.045833333333333,3.583625,5.043
2025-11-03 10:00:00,5.043,7.5,85,0.1,18.6,10,0,0,6.591,1.795,1.773,3.5908333333333338,3.745777777777778,6.786
2025-11-03 11:00:00,6.786,8.4,75,0.2,20.5,11,0,0,5.043,1.799,4.527,3.967333333333333,4.049799999999999,1.813
2025-11-03 12:00:00,1.813,8.9,68,0.2,18.6,12,0,0,6.786,6.591,1.79,3.971166666666667,3.8464545454545456,4.733
2025-11-03 13:00:00,4.733,9.1,61,0.0,20.0,13,0,0,1.813,5.043,1.795,4.460833333333333,3.9203333333333332,6.946
2025-11-03 14:00:00,6.946,9.6,57,0.0,20.8,14,0,0,4.733,6.786,1.799,5.318666666666666,4.153076923076923,7.764
2025-11-03 15:00:00,7.764,9.2,59,0.0,18.5,15,0,0,6.946,1.813,6.591,5.514166666666665,4.411,8.461
2025-11-03 16:00:00,8.461,8.4,67,0.0,15.0,16,0,0,7.764,4.733,5.043,6.083833333333334,4.681,9.739
2025-11-03 17:00:00,9.739,7.2,72,0.0,14.4,17,0,0,8.461,6.946,6.786,6.5760000000000005,4.9971250000000005,9.644
2025-11-03 18:00:00,9.644,6.7,74,0.0,14.4,18,0,0,9.739,7.764,1.813,7.881166666666666,5.270470588235294,11.465
2025-11-03 19:00:00,11.465,6.5,78,0.0,14.9,19,0,0,9.644,8.461,4.733,9.003166666666667,5.614611111111111,13.851
2025-11-03 20:00:00,13.851,6.8,79,0.0,16.5,20,0,0,11.465,9.739,6.946,10.154000000000002,6.048105263157895,8.144
2025-11-03 22:00:00,8.144,6.3,90,0.0,17.1,22,0,0,13.851,9.644,7.764,10.217333333333334,6.152900000000001,8.125
2025-11-03 23:00:00,8.125,6.3,90,0.0,17.4,23,0,0,8.144,11.465,8.461,10.161333333333333,6.246809523809524,7.688
2025-11-04 00:00:00,7.688,6.6,88,0.0,18.2,0,1,0,8.125,13.851,9.739,9.8195,6.312318181818182,4.767
2025-11-04 01:00:00,4.767,7.1,87,0.0,17.4,1,1,0,7.688,8.144,9.644,9.006666666666666,6.245130434782609,1.816
2025-11-04 03:00:00,1.816,6.8,89,0.0,15.9,3,1,0,4.767,8.125,11.465,7.398500000000001,6.060583333333334,5.418
2025-11-04 04:00:00,5.418,6.7,91,0.0,15.7,4,1,0,1.816,7.688,13.851,5.992999999999999,6.006708333333333,5.631
2025-11-04 05:00:00,5.631,6.6,91,0.0,16.0,5,1,0,5.418,4.767,8.144,5.574166666666667,6.087875,6.733
2025-11-04 06:00:00,6.733,6.5,91,0.0,15.8,6,1,0,5.631,1.816,8.125,5.3421666666666665,6.2945416666666665,6.116
2025-11-04 07:00:00,6.116,6.9,91,0.0,15.4,7,1,0,6.733,5.418,7.688,5.080166666666667,6.36075,9.807
2025-11-04 08:00:00,9.807,7.6,87,0.0,14.7,8,1,0,6.116,5.631,4.767,5.920166666666667,6.694791666666666,12.818
2025-11-04 09:00:00,12.818,9.1,84,0.0,12.4,9,1,0,9.807,6.733,1.816,7.753833333333334,7.154083333333333,12.392
2025-11-04 10:00:00,12.392,10.8,78,0.0,13.4,10,1,0,12.818,6.116,5.418,8.916166666666667,7.595458333333333,13.102
2025-11-04 11:00:00,13.102,11.9,72,0.0,14.1,11,1,0,12.392,9.807,5.631,10.161333333333333,7.86675,11.678
2025-11-04 12:00:00,11.678,12.6,67,0.0,13.6,12,1,0,13.102,12.818,6.733,10.9855,8.143208333333334,12.313
2025-11-04 13:00:00,12.313,13.2,63,0.0,12.7,13,1,0,11.678,12.392,6.116,12.018333333333333,8.3735,11.095
2025-11-04 14:00:00,11.095,13.1,63,0.0,11.3,14,1,0,12.313,13.102,9.807,12.232999999999999,8.760250000000001,4.482
2025-11-04 15:00:00,4.482,12.6,68,0.0,9.0,15,1,0,11.095,11.678,12.818,10.843666666666666,8.749791666666667,9.231
2025-11-04 16:00:00,9.231,10.8,77,0.0,6.8,16,1,0,4.482,12.313,12.392,10.316833333333333,8.845,13.828
2025-11-04 17:00:00,13.828,9.1,82,0.0,8.0,17,1,0,9.231,11.095,13.102,10.437833333333332,9.097666666666667,13.95
2025-11-04 18:00:00,13.95,8.4,82,0.0,7.6,18,1,0,13.828,4.482,11.678,10.8165,9.326375,15.074
2025-11-04 19:00:00,15.074,7.1,86,0.0,8.4,19,1,0,13.95,9.231,12.313,11.276666666666666,9.548666666666668,15.532
2025-11-04 20:00:00,15.532,6.2,89,0.0,8.4,20,1,0,15.074,13.828,11.095,12.016166666666665,9.793999999999999,18.418
2025-11-04 21:00:00,18.418,6.0,89,0.0,10.0,21,1,0,15.532,13.95,4.482,14.338833333333334,10.083708333333334,15.566
2025-11-04 22:00:00,15.566,6.2,86,0.0,11.2,22,1,0,18.418,15.074,9.231,15.394666666666666,10.155166666666668,13.641
2025-11-04 23:00:00,13.641,6.3,84,0.0,12.0,23,1,0,15.566,15.532,13.828,15.363500000000002,10.384208333333333,14.367
2025-11-05 00:00:00,14.367,6.4,81,0.0,11.9,0,2,0,13.641,18.418,13.95,15.433,10.644291666666668,11.224
2025-11-05 01:00:00,11.224,6.4,76,0.0,11.0,1,2,0,14.367,15.566,15.074,14.791333333333334,10.791625000000002,7.941
2025-11-05 02:00:00,7.941,6.1,76,0.0,11.2,2,2,0,11.224,13.641,15.532,13.526166666666668,10.923875,8.03
2025-11-05 03:00:00,8.03,5.6,76,0.0,11.5,3,2,0,7.941,14.367,18.418,11.794833333333335,11.182791666666667,8.439
2025-11-05 04:00:00,8.439,5.3,76,0.0,11.9,4,2,0,8.03,11.224,15.566,10.607,11.308666666666667,5.508
2025-11-05 05:00:00,5.508,4.9,77,0.0,11.4,5,2,0,8.439,7.941,13.641,9.2515,11.303541666666666,5.036
2025-11-05 06:00:00,5.036,4.8,77,0.0,12.4,6,2,0,5.508,8.03,14.367,7.696333333333333,11.232833333333332,8.927
2025-11-05 07:00:00,8.927,4.9,75,0.0,12.0,7,2,0,5.036,8.439,11.224,7.3135,11.349958333333333,11.673
2025-11-05 08:00:00,11.673,5.6,74,0.0,12.7,8,2,0,8.927,5.508,7.941,7.9355,11.427708333333333,14.535
2025-11-05 09:00:00,14.535,8.1,68,0.0,11.6,9,2,0,11.673,5.036,8.03,9.019666666666666,11.499250000000002,25.378
2025-11-05 10:00:00,25.378,10.9,68,0.0,8.9,10,2,0,14.535,8.927,8.439,11.842833333333333,12.040333333333335,27.588
2025-11-05 11:00:00,27.588,13.9,65,0.0,6.2,11,2,0,25.378,11.673,5.508,15.522833333333333,12.643916666666668,24.377
2025-11-05 12:00:00,24.377,15.9,59,0.0,1.8,12,2,0,27.588,14.535,5.036,18.746333333333336,13.173041666666665,15.715
2025-11-05 14:00:00,15.715,16.6,56,0.0,3.5,14,2,0,24.377,25.378,8.927,19.877666666666666,13.314791666666666,20.512
2025-11-05 15:00:00,20.512,15.6,71,0.0,3.4,15,2,0,15.715,27.588,11.673,21.35083333333333,13.707166666666668,12.916
2025-11-05 16:00:00,12.916,12.6,72,0.0,7.5,16,2,0,20.512,24.377,14.535,21.081,14.058583333333333,11.238
2025-11-05 17:00:00,11.238,10.2,70,0.0,12.7,17,2,0,12.916,15.715,25.378,18.724333333333334,14.142208333333334,15.44
2025-11-05 18:00:00,15.44,8.1,70,0.0,13.0,18,2,0,11.238,20.512,27.588,16.69966666666667,14.209375000000001,14.127
2025-11-05 19:00:00,14.127,7.5,66,0.0,12.7,19,2,0,15.44,12.916,24.377,14.991333333333332,14.216750000000003,20.876
2025-11-05 20:00:00,20.876,6.8,67,0.0,11.5,20,2,0,14.127,11.238,15.715,15.851500000000001,14.4585,17.56
2025-11-05 21:00:00,17.56,6.2,71,0.0,10.3,21,2,0,20.876,15.44,20.512,15.359500000000002,14.543,13.068
2025-11-05 22:00:00,13.068,5.9,75,0.0,9.8,22,2,0,17.56,14.127,12.916,15.384833333333333,14.320083333333335,9.219
2025-11-05 23:00:00,9.219,5.8,78,0.0,9.0,23,2,0,13.068,20.876,11.238,15.048333333333332,14.055625,14.856
2025-11-06 00:00:00,14.856,5.4,79,0.0,8.4,0,3,0,9.219,17.56,15.44,14.951,14.106249999999998,16.807
2025-11-06 01:00:00,16.807,6.4,78,0.0,12.2,1,3,0,14.856,13.068,14.127,15.397666666666666,14.207916666666668,15.861
2025-11-06 02:00:00,15.861,6.4,81,0.0,13.9,2,3,0,16.807,9.219,20.876,14.561833333333333,14.401124999999999,11.897
2025-11-06 03:00:00,11.897,6.5,79,0.0,14.6,3,3,0,15.861,14.856,17.56,13.618,14.565958333333333,10.324
2025-11-06 04:00:00,10.324,6.3,77,0.0,12.7,4,3,0,11.897,16.807,13.068,13.160666666666666,14.661541666666666,7.661
2025-11-06 05:00:00,7.661,5.2,80,0.0,7.8,5,3,0,10.324,15.861,9.219,12.901000000000002,14.629125,8.004
2025-11-06 07:00:00,8.004,4.8,74,0.0,6.4,7,3,0,7.661,11.897,14.856,11.759,14.733125000000001,7.031
2025-11-06 08:00:00,7.031,5.4,75,0.0,6.4,8,3,0,8.004,10.324,16.807,10.129666666666667,14.816250000000002,13.036
2025-11-06 09:00:00,13.036,8.4,67,0.0,8.9,9,3,0,7.031,7.661,15.861,9.658833333333334,14.987458333333334,19.507
2025-11-06 10:00:00,19.507,9.6,62,0.0,7.6,10,3,0,13.036,8.004,11.897,10.927166666666666,15.313875000000001,15.778
2025-11-06 11:00:00,15.778,10.1,64,0.0,8.9,11,3,0,19.507,7.031,10.324,11.836166666666665,15.365666666666664,12.122
2025-11-06 12:00:00,12.122,10.6,65,0.0,10.1,12,3,0,15.778,13.036,7.661,12.579666666666666,14.813333333333333,15.966
2025-11-06 13:00:00,15.966,11.4,64,0.0,8.8,13,3,0,12.122,19.507,8.004,13.906666666666666,14.329083333333335,16.695
2025-11-06 14:00:00,16.695,11.4,65,0.0,7.9,14,3,0,15.966,15.778,7.031,15.517333333333333,14.009,10.823
2025-11-06 15:00:00,10.823,10.7,68,0.0,7.2,15,3,0,16.695,12.122,13.036,15.1485,13.805166666666665,11.673
2025-11-06 16:00:00,11.673,8.6,75,0.0,6.8,16,3,0,10.823,15.966,19.507,13.842833333333333,13.436874999999999,18.045
2025-11-06 17:00:00,18.045,6.4,78,0.0,10.0,17,3,0,11.673,16.695,15.778,14.220666666666668,13.650583333333332,19.291
2025-11-06 18:00:00,19.291,5.3,80,0.0,11.4,18,3,0,18.045,10.823,12.122,15.415500000000002,13.986125,16.954
2025-11-06 19:00:00,16.954,4.4,84,0.0,11.2,19,3,0,19.291,11.673,15.966,15.580166666666665,14.049208333333333,21.204
2025-11-06 20:00:00,21.204,4.8,85,0.0,10.5,20,3,0,16.954,18.045,16.695,16.331666666666667,14.344083333333332,25.0
2025-11-06 22:00:00,25.0,5.6,87,0.0,9.6,22,3,0,21.204,19.291,10.823,18.6945,14.515916666666667,25.915
2025-11-06 23:00:00,25.915,5.4,88,0.0,9.6,23,3,0,25.0,16.954,11.673,21.068166666666666,14.864041666666667,24.011
2025-11-07 00:00:00,24.011,5.3,89,0.0,10.6,0,4,0,25.915,21.204,18.045,22.0625,15.32,20.092
2025-11-07 01:00:00,20.092,4.3,92,0.0,9.4,1,4,0,24.011,25.0,19.291,22.195999999999998,15.773041666666666,23.243
2025-11-07 02:00:00,23.243,4.4,92,0.0,10.5,2,4,0,20.092,25.915,16.954,23.24416666666667,16.1225,20.898
2025-11-07 03:00:00,20.898,4.5,91,0.0,10.2,3,4,0,23.243,24.011,21.204,23.193166666666666,16.292958333333335,19.354
2025-11-07 04:00:00,19.354,3.9,92,0.0,7.6,4,4,0,20.898,20.092,25.0,22.252166666666664,16.4385,19.456
2025-11-07 05:00:00,19.456,3.3,92,0.0,7.9,5,4,0,19.354,23.243,25.915,21.175666666666668,16.753458333333334,21.729
2025-11-07 06:00:00,21.729,2.8,94,0.0,7.7,6,4,0,19.456,20.898,24.011,20.795333333333335,17.228666666666665,25.044
2025-11-07 07:00:00,25.044,1.6,97,0.0,5.2,7,4,0,21.729,19.354,20.092,21.620666666666665,17.95295833333333,25.753
2025-11-07 08:00:00,25.753,2.0,98,0.0,7.8,8,4,0,25.044,19.456,23.243,22.038999999999998,18.6925,34.402
2025-11-07 09:00:00,34.402,4.6,91,0.0,8.9,9,4,0,25.753,21.729,20.898,24.289666666666665,19.832958333333334,35.633
2025-11-07 10:00:00,35.633,7.4,83,0.0,8.5,10,4,0,34.402,25.044,19.354,27.00283333333333,20.7745,26.027
2025-11-07 11:00:00,26.027,9.0,75,0.0,9.0,11,4,0,35.633,25.753,19.456,28.098000000000003,21.046166666666668,22.464
2025-11-07 12:00:00,22.464,9.6,72,0.0,7.8,12,4,0,26.027,34.402,21.729,28.2205,21.32475,21.473
2025-11-07 13:00:00,21.473,10.1,69,0.0,5.2,13,4,0,22.464,35.633,25.044,27.62533333333333,21.714375,24.344
2025-11-07 14:00:00,24.344,10.0,69,0.0,6.5,14,4,0,21.473,26.027,25.753,27.390500000000003,22.063458333333333,22.857
2025-11-07 15:00:00,22.857,9.3,69,0.0,8.6,15,4,0,24.344,22.464,34.402,25.466333333333335,22.32020833333333,22.634
2025-11-07 16:00:00,22.634,7.7,76,0.0,7.5,16,4,0,22.857,21.473,35.633,23.299833333333336,22.81233333333333,24.094
2025-11-07 17:00:00,24.094,6.2,80,0.0,9.3,17,4,0,22.634,24.344,26.027,22.977666666666664,23.329874999999998,25.781
2025-11-07 18:00:00,25.781,5.4,83,0.0,8.1,18,4,0,24.094,22.857,22.464,23.5305,23.652208333333334,26.152
2025-11-07 19:00:00,26.152,4.2,89,0.0,4.8,19,4,0,25.781,22.634,21.473,24.310333333333336,23.938083333333328,32.032
2025-11-07 20:00:00,32.032,2.9,93,0.0,3.7,20,4,0,26.152,24.094,24.344,25.59166666666667,24.566333333333333,37.135
2025-11-08 01:00:00,37.135,1.5,92,0.0,2.3,1,5,1,32.032,25.781,22.857,27.971333333333334,25.230125,40.266
2025-11-08 02:00:00,40.266,0.6,95,0.0,4.2,2,5,1,37.135,26.152,22.634,30.91,25.866208333333333,39.454
2025-11-08 03:00:00,39.454,0.3,98,0.0,5.0,3,5,1,40.266,32.032,24.094,33.47,26.430333333333333,32.58
2025-11-08 04:00:00,32.58,0.2,99,0.0,4.8,4,5,1,39.454,37.135,25.781,34.60316666666666,26.787375,30.481
2025-11-08 05:00:00,30.481,0.2,99,0.0,4.6,5,5,1,32.58,40.266,26.152,35.324666666666666,27.220250000000004,30.247
2025-11-08 06:00:00,30.247,-0.2,99,0.0,4.4,6,5,1,30.481,39.454,32.032,35.027166666666666,27.512083333333333,30.8
