datetime,pm10,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2025-11-03 02:00:00,6.711,8.1,96,0.9,17.3
2025-11-03 03:00:00,3.683,7.9,96,0.4,16.4
2025-11-03 04:00:00,1.773,7.5,94,0.2,21.1
2025-11-03 05:00:00,4.527,6.8,97,0.1,20.0
2025-11-03 06:00:00,1.79,6.2,96,0.1,18.3
2025-11-03 07:00:00,1.795,6.2,96,0.0,16.6
2025-11-03 08:00:00,1.799,6.2,97,0.0,17.3
2025-11-03 09:00:00,6.591,6.9,92,0.1,18.2
2025-11-03 10:00:00,5.043,7.5,85,0.1,18.6
2025-11-03 11:00:00,6.786,8.4,75,0.2,20.5
2025-11-03 12:00:00,1.813,8.9,68,0.2,18.6
2025-11-03 13:00:00,4.733,9.1,61,0.0,20.0
2025-11-03 14:00:00,6.946,9.6,57,0.0,20.8
2025-11-03 15:00:00,7.764,9.2,59,0.0,18.5
2025-11-03 16:00:00,8.461,8.4,67,0.0,15.0
2025-11-03 17:00:00,9.739,7.2,72,0.0,14.4
2025-11-03 18:00:00,9.644,6.7,74,0.0,14.4
2025-11-03 19:00:00,11.465,6.5,78,0.0,14.9
2025-11-03 20:00:00,13.851,6.8,79,0.0,16.5
2025-11-03 22:00:00,8.144,6.3,90,0.0,17.1
2025-11-03 23:00:00,8.125,6.3,90,0.0,17.4
2025-11-04 00:00:00,7.688,6.6,88,0.0,18.2
2025-11-04 01:00:00,4.767,7.1,87,0.0,17.4
2025-11-04 03:00:00,1.816,6.8,89,0.0,15.9
2025-11-04 04:00:00,5.418,6.7,91,0.0,15.7
2025-11-04 05:00:00,5.631,6.6,91,0.0,16.0
2025-11-04 06:00:00,6.733,6.5,91,0.0,15.8
2025-11-04 07:00:00,6.116,6.9,91,0.0,15.4
2025-11-04 08:00:00,9.807,7.6,87,0.0,14.7
2025-11-04 09:00:00,12.818,9.1,84,0.0,12.4
2025-11-04 10:00:00,12.392,10.8,78,0.0,13.4
2025-11-04 11:00:00,13.102,11.9,72,0.0,14.1
2025-11-04 12:00:00,11.678,12.6,67,0.0,13.6
2025-11-04 13:00:00,12.313,13.2,63,0.0,12.7
2025-11-04 14:00:00,11.095,13.1,63,0.0,11.3
2025-11-04 15:00:00,4.482,12.6,68,0.0,9.0
2025-11-04 16:00:00,9.231,10.8,77,0.0,6.8
2025-11-04 17:00:00,13.828,9.1,82,0.0,8.0
2025-11-04 18:00:00,13.95,8.4,82,0.0,7.6
2025-11-04 19:00:00,15.074,7.1,86,0.0,8.4
2025-11-04 20:00:00,15.532,6.2,89,0.0,8.4
2025-11-04 21:00:00,18.418,6.0,89,0.0,10.0
2025-11-04 22:00:00,15.566,6.2,86,0.0,11.2
2025-11-04 23:00:00,13.641,6.3,84,0.0,12.0
2025-11-05 00:00:00,14.367,6.4,81,0.0,11.9
2025-11-05 01:00:00,11.224,6.4,76,0.0,11.0
2025-11-05 02:00:00,7.941,6.1,76,0.0,11.2
2025-11-05 03:00:00,8.03,5.6,76,0.0,11.5
2025-11-05 04:00:00,8.439,5.3,76,0.0,11.9
2025-11-05 05:00:00,5.508,4.9,77,0.0,11.4
2025-11-05 06:00:00,5.036,4.8,77,0.0,12.4
2025-11-05 07:00:00,8.927,4.9,75,0.0,12.0
2025-11-05 08:00:00,11.673,5.6,74,0.0,12.7
2025-11-05 09:00:00,14.535,8.1,68,0.0,11.6
2025-11-05 10:00:00,25.378,10.9,68,0.0,8.9
