value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
6.711,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-03T00:00:00Z,2025-11-03T01:00:00+01:00,2025-11-03T01:00:00Z,2025-11-03T02:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-03T00:00:00Z,2025-11-03T01:00:00+01:00,2025-11-03T01:00:00Z,2025-11-03T02:00:00+01:00
3.683,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-03T01:00:00Z,2025-11-03T02:00:00+01:00,2025-11-03T02:00:00Z,2025-11-03T03:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-03T01:00:00Z,2025-11-03T02:00:00+01:00,2025-11-03T02:00:00Z,2025-11-03T03:00:00+01:00
1.773,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-03T02:00:00Z,2025-11-03T03:00:00+01:00,2025-11-03T03:00:00Z,2025-11-03T04:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-03T02:00:00Z,2025-11-03T03:00:00+01:00,2025-11-03T03:00:00Z,2025-11-03T04:00:00+01:00
4.527,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-03T03:00:00Z,2025-11-03T04:00:00+01:00,2025-11-03T04:00:00Z,2025-11-03T05:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-03T03:00:00Z,2025-11-03T04:00:00+01:00,2025-11-03T04:00:00Z,2025-11-03T05:00:00+01:00
1.79,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-03T04:00:00Z,2025-11-03T05:00:00+01:00,2025-11-03T05:00:00Z,2025-11-03T06:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-03T04:00:00Z,2025-11-03T05:00:00+01:00,2025-11-03T05:00:00Z,2025-11-03T06:00:00+01:00
1.795,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-03T05:00:00Z,2025-11-03T06:00:00+01:00,2025-11-03T06:00:00Z,2025-11-03T07:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-03T05:00:00Z,2025-11-03T06:00:00+01:00,2025-11-03T06:00:00Z,2025-11-03T07:00:00+01:00
1.799,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-03T06:00:00Z,2025-11-03T07:00:00+01:00,2025-11-03T07:00:00Z,2025-11-03T08:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-03T06:00:00Z,2025-11-03T07:00:00+01:00,2025-11-03T07:00:00Z,2025-11-03T08:00:00+01:00
6.591,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-03T07:00:00Z,2025-11-03T08:00:00+01:00,2025-11-03T08:00:00Z,2025-11-03T09:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-03T07:00:00Z,2025-11-03T08:00:00+01:00,2025-11-03T08:00:00Z,2025-11-03T09:00:00+01:00
5.043,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-03T08:00:00Z,2025-11-03T09:00:00+01:00,2025-11-03T09:00:00Z,2025-11-03T10:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-03T08:00:00Z,2025-11-03T09:00:00+01:00,2025-11-03T09:00:00Z,2025-11-03T10:00:00+01:00
6.786,,,False,1,pm10,µg/m³,,raw,01:00:00,2025-11-03T09:00:00Z,2025-11-03T10:00:00+01:00,2025-11-03T10:00:00Z,2025-11-03T11:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2025-11-03T09:00:00Z,2025-11-03T10:00:00+01:00,2025-11-03T10:00:00Z,2025-11-03T11:00:00+01:00
