datetime,pm10,temp_2m,humidity,precipitation,wind_speed,hour,day_of_week,is_weekend,pm10_lag_1h,pm10_lag_3h,pm10_lag_6h,pm10_rolling_mean_3h,pm10_rolling_std_6h
2026-01-27 12:00:00,29.894,-0.4,86,0.0,4.0,12,1,0,28.247,22.772,10.29,26.98,5.772745531085418
2026-01-27 13:00:00,25.816,-0.3,85,0.0,4.3,13,1,0,29.894,22.799,14.115,27.985666666666663,3.88891829004759
2026-01-27 14:00:00,28.916,-0.5,86,0.0,1.2,14,1,0,25.816,28.247,19.448,28.20866666666667,3.1119132164420464
2026-01-27 15:00:00,25.868,-0.3,86,0.0,2.4,15,1,0,28.916,29.894,22.772,26.866666666666664,2.603755569685197
2026-01-27 16:00:00,23.156,-0.5,87,0.0,2.7,16,1,0,25.868,25.816,22.799,25.98,2.49235426187103
2026-01-27 17:00:00,26.293,-1.0,89,0.0,5.6,17,1,0,23.156,28.916,28.247,25.105666666666664,2.4207663593719
2026-01-27 18:00:00,21.093,-2.1,91,0.0,6.0,18,1,0,26.293,25.868,29.894,23.514,2.7156512785456584
2026-01-27 19:00:00,22.819,-1.2,92,0.0,5.9,19,1,0,21.093,23.156,25.816,23.401666666666667,2.849862131168219
2026-01-27 20:00:00,22.48,-2.3,93,0.0,5.4,20,1,0,22.819,26.293,28.916,22.130666666666666,2.036695305308736
2026-01-27 21:00:00,22.817,-3.3,94,0.0,6.6,21,1,0,22.48,21.093,25.868,22.705333333333332,1.7186810834668074
2026-01-27 22:00:00,20.732,-2.5,94,0.0,7.3,22,1,0,22.817,22.819,23.156,22.009666666666664,1.9718610160623977
2026-01-27 23:00:00,20.281,-1.8,95,0.0,8.4,23,1,0,20.732,22.48,26.293,21.276666666666667,1.1337727579487065
2026-01-28 00:00:00,17.749,-1.6,94,0.0,8.3,0,2,0,20.281,22.817,21.093,19.587333333333333,1.991479617436896
2026-01-28 01:00:00,17.329,-2.0,95,0.0,8.4,1,2,0,17.749,20.732,22.819,18.453,2.3056810418326696
2026-01-28 02:00:00,16.235,-1.8,94,0.0,6.6,2,2,0,17.329,20.281,22.48,17.104333333333333,2.489779086585776
2026-01-28 03:00:00,10.846,-2.0,95,0.0,7.7,3,2,0,16.235,17.749,22.817,14.803333333333335,3.5662315497828425
2026-01-28 04:00:00,16.332,-2.2,94,0.0,7.7,4,2,0,10.846,17.329,20.732,14.470999999999998,3.117714034352711
2026-01-28 05:00:00,19.981,-2.3,94,0.0,8.8,5,2,0,16.332,16.235,20.281,15.719666666666669,3.045793952321769
2026-01-28 06:00:00,19.663,-1.9,93,0.0,10.2,6,2,0,19.981,10.846,17.749,18.658666666666665,3.3031854322759218
2026-01-28 07:00:00,15.559,-1.4,93,0.0,10.6,7,2,0,19.663,16.332,17.329,18.401,3.318101867031792
2026-01-28 08:00:00,15.584,-0.8,91,0.0,9.6,8,2,0,15.559,19.981,16.235,16.935333333333332,3.3365811694007776
2026-01-28 16:00:00,19.46,0.4,86,0.0,13.8,16,2,0,24.241,20.394,17.761,20.910333333333334,2.070459723507469
2026-01-28 17:00:00,20.328,-0.2,90,0.0,13.7,17,2,0,19.46,19.03,20.437,21.343,2.077859836466348
2026-01-28 18:00:00,30.308,-0.6,93,0.0,14.1,18,2,0,20.328,24.241,23.012,23.365333333333336,4.339940356733028
2026-01-28 19:00:00,30.284,-0.5,94,0.0,14.5,19,2,0,30.308,19.46,20.394,26.973333333333333,5.255728014905902
2026-01-28 20:00:00,31.539,-0.9,96,0.0,15.1,20,2,0,30.284,20.328,19.03,30.710333333333335,5.396759015063283
2026-01-28 21:00:00,31.697,-1.3,97,0.0,15.7,21,2,0,31.539,30.308,24.241,31.173333333333336,5.750196367661444
2026-01-28 22:00:00,30.547,-1.5,97,0.0,15.2,22,2,0,31.697,30.284,19.46,31.261,4.349581010472958
2026-01-28 23:00:00,31.521,-1.8,98,0.0,15.4,23,2,0,30.547,31.539,20.328,31.255,0.6697308912294822
2026-01-29 00:00:00,40.478,-2.0,99,0.0,14.9,0,3,0,31.521,31.697,30.308,34.181999999999995,3.8655071422346543
2026-01-29 01:00:00,41.577,-1.8,99,0.0,15.7,1,3,0,40.478,30.547,30.284,37.858666666666664,5.038331327599169
2026-01-29 02:00:00,41.356,-1.8,97,0.0,14.2,2,3,0,41.577,31.521,31.539,41.137,5.439193175462755
2026-01-29 03:00:00,44.342,-1.9,96,0.0,12.8,3,3,0,41.356,40.478,31.697,42.425,5.78603645857859
2026-01-29 04:00:00,46.973,-2.1,96,0.0,12.3,4,3,0,44.342,41.577,30.547,44.22366666666667,5.242501594340952
2026-01-29 05:00:00,41.938,-2.3,96,0.0,12.2,5,3,0,46.973,41.356,31.521,44.41766666666666,2.429164602629365
2026-01-29 06:00:00,42.289,-2.5,95,0.0,12.4,6,3,0,41.938,44.342,40.478,43.73333333333333,2.186738156860005
2026-01-29 07:00:00,34.018,-2.5,96,0.1,12.8,7,3,0,42.289,46.973,41.577,39.415,4.341296473021333
2026-01-29 08:00:00,38.019,-2.9,97,0.0,13.4,8,3,0,34.018,41.938,41.356,38.108666666666664,4.61749288756003
2026-01-29 09:00:00,34.514,-3.0,96,0.1,13.2,9,3,0,38.019,42.289,44.342,35.517,5.031500269965952
2026-01-29 10:00:00,33.06,-3.0,94,0.4,13.4,10,3,0,34.514,34.018,46.973,35.19766666666666,4.0848208120635405
2026-01-29 11:00:00,29.638,-3.0,94,0.5,13.0,11,3,0,33.06,38.019,41.938,32.404,4.371837264430991
2026-01-29 12:00:00,27.698,-2.8,93,0.3,12.4,12,3,0,29.638,34.514,42.289,30.132,3.681084826515248
2026-01-29 13:00:00,30.927,-2.5,93,0.2,12.7,13,3,0,27.698,33.06,34.018,29.420999999999996,3.69690712172587
2026-01-29 14:00:00,32.741,-2.5,93,0.2,11.2,14,3,0,30.927,29.638,38.019,30.45533333333333,2.5011506685258817
2026-01-29 15:00:00,29.659,-2.5,94,0.2,10.6,15,3,0,32.741,27.698,34.514,31.108999999999998,2.048043822773525
2026-01-29 16:00:00,25.812,-2.5,95,0.2,8.9,16,3,0,29.659,30.927,33.06,29.403999999999996,2.424349211644393
2026-01-29 17:00:00,25.24,-2.5,95,0.2,8.0,17,3,0,25.812,32.741,29.638,26.903666666666663,2.950339556729156
2026-01-29 18:00:00,27.3,-2.3,95,0.3,8.1,18,3,0,25.24,29.659,27.698,26.11733333333333,2.9811338391067683
2026-01-29 19:00:00,25.193,-2.1,96,0.5,7.3,19,3,0,27.3,25.812,30.927,25.910999999999998,3.0099740032101265
2026-01-29 20:00:00,20.432,-2.0,96,0.4,7.1,20,3,0,25.193,25.24,32.741,24.308333333333326,3.0467583428950857
2026-01-29 21:00:00,20.778,-1.8,96,0.3,5.6,21,3,0,20.432,27.3,29.659,22.13433333333333,2.833764169204537
2026-01-29 22:00:00,25.081,-1.9,97,0.2,5.1,22,3,0,20.778,25.193,25.812,22.096999999999994,2.7615655704691884
2026-01-29 23:00:00,25.657,-1.9,96,0.0,4.9,23,3,0,25.081,20.432,25.24,23.838666666666658,2.8038171659366116
2026-01-30 00:00:00,28.135,-1.7,96,0.0,4.0,0,4,0,25.657,20.778,27.3,26.290999999999997,3.0091935575279103
2026-01-30 01:00:00,31.324,-2.0,99,0.0,1.0,1,4,0,28.135,25.081,25.193,28.371999999999996,4.210020843178905
2026-01-30 02:00:00,27.837,-2.2,99,0.0,0.6,2,4,0,31.324,25.657,20.432,29.098666666666663,3.5550351146883874
2026-01-30 03:00:00,30.344,-2.2,99,0.0,0.8,3,4,0,27.837,28.135,20.778,29.834999999999997,2.4728324650086604
2026-01-30 04:00:00,29.582,-2.5,98,0.0,2.2,4,4,0,30.344,31.324,25.081,29.25433333333333,2.030420588613964
2026-01-30 05:00:00,26.085,-1.7,96,0.0,2.9,5,4,0,29.582,27.837,25.657,28.670333333333332,1.9007374095336815
2026-01-30 13:00:00,30.609,0.9,84,0.0,2.8,13,4,0,32.957,32.197,31.863,31.8,1.5994751326609737
2026-01-30 14:00:00,30.172,0.9,85,0.0,3.6,14,4,0,30.609,31.834,32.739,31.246,1.881495965094664
2026-01-30 15:00:00,28.633,1.0,86,0.0,4.8,15,4,0,30.172,32.957,35.417,29.804666666666662,1.5730501581325445
2026-01-30 16:00:00,20.543,0.6,88,0.0,4.8,16,4,0,28.633,30.609,32.197,26.44933333333333,4.454529320440878
2026-01-30 17:00:00,20.789,-0.2,90,0.0,6.4,17,4,0,20.543,30.172,31.834,23.321666666666662,5.310838066319425
